laptop_ID,Company,TypeName,Inches,Ram,OpSys,Weight,Price_euros,IPS_Panel,Retina_Display,Touchscreen,Resolution_X,Resolution_Y,Total_Pixels,High_Resolution,Product_Series,Cpu_Brand,Cpu_Series,Clock_Speed,Gpu_Manufacturer,Gpu_Series,Memory_Type,Memory_Size(GB)
16,Apple,Ultrabook,13.3,8,macOS,1.37,1518.55,1,1,0,2560,1600,4096000,1,MacBook,Intel,Core i5,2.3,Intel,Iris Plus,SSD,256
17,Dell,Notebook,15.6,8,Windows 10,2.2,745.0,0,0,0,1920,1080,2073600,0,Inspiron,Intel,Core i7,2.7,AMD,Radeon,SSD,256
18,Apple,Ultrabook,15.4,16,macOS,1.83,2858.0,1,1,0,2880,1800,5184000,1,MacBook,Intel,Core i7,2.9,AMD,Radeon,SSD,512
19,Lenovo,Notebook,15.6,8,No OS,2.2,499.0,0,0,0,1920,1080,2073600,0,IdeaPad,Intel,Core i3,2.4,Nvidia,GeForce,HDD,1024
20,Dell,Ultrabook,13.3,8,Windows 10,1.22,979.0,1,0,1,1920,1080,2073600,0,XPS,Intel,Core i5,1.6,Intel,UHD,SSD,128
21,Asus,Netbook,11.6,2,Windows 10,0.98,191.9,0,0,0,1366,768,1049088,0,Vivobook,Intel,Atom,1.44,Intel,HD,Flash Storage,32
22,Lenovo,Gaming,15.6,8,Windows 10,2.5,999.0,1,0,0,1920,1080,2073600,0,Legion,Intel,Core i5,2.5,Nvidia,GeForce,SSD + HDD,1152
23,HP,Notebook,15.6,4,No OS,1.86,258.0,0,0,0,1366,768,1049088,0,255 G6,AMD,E-Series,1.5,AMD,Radeon,HDD,500
24,Dell,2 in 1 Convertible,13.3,8,Windows 10,1.62,819.0,0,0,1,1920,1080,2073600,0,Inspiron,Intel,Core i5,1.6,Intel,UHD,SSD,256
25,HP,Ultrabook,15.6,8,Windows 10,1.91,659.0,0,0,0,1920,1080,2073600,0,15-BS101nv,Intel,Core i7,1.8,Intel,HD,SSD,256
26,Dell,Notebook,15.6,4,Windows 10,2.3,418.64,0,0,0,1366,768,1049088,0,Inspiron,Intel,Core i3,2,Intel,HD,HDD,1024
27,Apple,Ultrabook,13.3,8,Mac OS X,1.35,1099.0,0,0,0,1440,900,1296000,0,MacBook,Intel,Core i5,1.6,Intel,HD,Flash Storage,128
28,Dell,Notebook,15.6,8,Windows 10,2.2,800.0,0,0,0,1920,1080,2073600,0,Inspiron,Intel,Core i5,1.6,AMD,Radeon,SSD,256
29,Dell,Ultrabook,15.6,8,Windows 10,1.88,1298.0,0,0,0,1920,1080,2073600,0,Latitude,Intel,Core i7,1.9,Intel,UHD,SSD,512
30,HP,Notebook,17.3,8,Windows 10,2.5,896.0,0,0,0,1920,1080,2073600,0,ProBook,Intel,Core i5,1.6,Nvidia,GeForce,HDD,1024
31,Chuwi,Notebook,15.6,4,Windows 10,1.89,244.99,0,0,0,1920,1080,2073600,0,LapBook,Intel,Atom,1.44,Intel,HD,Flash Storage,64
32,Asus,Notebook,14.0,2,Windows 10,1.65,199.0,0,0,0,1366,768,1049088,0,E402WA-GA010T,AMD,E-Series,1.5,AMD,Radeon,Flash Storage,32
33,HP,Notebook,17.3,4,Windows 10,2.71,439.0,0,0,0,1920,1080,2073600,0,17-ak001nv,AMD,A6-Series,2.5,AMD,Radeon,HDD,500
34,Dell,Ultrabook,13.3,16,Windows 10,1.2,1869.0,0,0,1,3200,1800,5760000,1,XPS,Intel,Core i7,1.8,Intel,UHD,SSD,512
35,Apple,Ultrabook,13.3,8,Mac OS X,1.35,998.0,0,0,0,1440,900,1296000,0,MacBook,Intel,Core i5,1.6,Intel,HD,Flash Storage,256
36,Lenovo,Notebook,14.0,4,Windows 10,1.44,249.0,0,0,0,1366,768,1049088,0,IdeaPad,Intel,Celeron,1.1,Intel,HD,Flash Storage,64
37,Acer,Notebook,15.6,4,Linux,2.1,367.0,0,0,0,1366,768,1049088,0,Aspire,Intel,Core i3,2.7,Intel,HD,HDD,1024
38,Dell,Notebook,17.3,8,Windows 10,2.8,979.0,1,0,0,1920,1080,2073600,0,Inspiron,Intel,Core i5,1.6,AMD,Radeon,SSD + HDD,1152
39,HP,Notebook,15.6,4,Windows 10,1.86,488.69,0,0,0,1366,768,1049088,0,250 G6,Intel,Core i5,2.5,Intel,HD,HDD,1024
40,HP,Notebook,15.6,8,Windows 10,2.1,879.0,0,0,0,1920,1080,2073600,0,ProBook,Intel,Core i5,1.6,Nvidia,GeForce,SSD,256
41,Asus,Notebook,15.6,4,Linux,2.0,389.0,0,0,0,1920,1080,2073600,0,X540UA-DM186,Intel,Core i3,2,Intel,HD,HDD,1024
42,Dell,Gaming,15.6,16,Windows 10,2.65,1499.0,1,0,0,1920,1080,2073600,0,Inspiron,Intel,Core i7,2.8,Nvidia,GeForce,SSD + HDD,1280
43,Asus,Notebook,15.6,8,Linux,2.3,522.99,0,0,0,1366,768,1049088,0,X542UQ-GO005,Intel,Core i5,2.5,Nvidia,GeForce,HDD,1024
44,Acer,Notebook,15.6,4,Windows 10,2.2,682.0,1,0,0,1920,1080,2073600,0,Aspire,Intel,Core i5,1.6,Intel,UHD,SSD,256
45,Dell,2 in 1 Convertible,17.3,12,Windows 10,2.77,999.0,0,0,1,1920,1080,2073600,0,Inspiron,Intel,Core i5,1.6,Nvidia,GeForce,HDD,1024
46,Apple,Ultrabook,13.3,8,macOS,1.37,1419.0,1,1,0,2560,1600,4096000,1,MacBook,Intel,Core i5,2.0,Intel,Iris,SSD,256
47,Lenovo,Notebook,15.6,4,No OS,2.2,369.0,0,0,0,1366,768,1049088,0,IdeaPad,Intel,Core i3,2,Intel,HD,SSD,128
48,Asus,Gaming,17.3,8,Windows 10,3.2,1299.0,0,0,0,1920,1080,2073600,0,Rog,AMD,Ryzen,3,AMD,Radeon,SSD + HDD,1280
49,Dell,Notebook,15.6,4,Windows 10,2.3,639.0,0,0,0,1920,1080,2073600,0,Inspiron,Intel,Core i5,2.5,AMD,Radeon,SSD,256
50,Asus,Notebook,17.3,4,Windows 10,2.8,466.0,0,0,0,1366,768,1049088,0,X751NV-TY001T,Intel,Pentium,1.1,Nvidia,GeForce,HDD,1024
51,Lenovo,2 in 1 Convertible,10.1,4,Android,0.69,319.0,1,0,1,1920,1200,2304000,1,Yoga,Intel,Atom,1.44,Intel,HD,Flash Storage,64
52,Acer,Notebook,15.6,8,Windows 10,2.2,841.0,1,0,0,1920,1080,2073600,0,Aspire,Intel,Core i7,1.8,Nvidia,GeForce,SSD,256
53,HP,Notebook,15.6,4,Windows 10,1.86,398.49,0,0,0,1920,1080,2073600,0,255 G6,AMD,A6-Series,2.5,AMD,Radeon,SSD,256
54,HP,Notebook,13.3,8,Windows 10,1.49,1103.0,0,0,0,1920,1080,2073600,0,ProBook,Intel,Core i7,1.8,Intel,UHD,SSD,512
55,Acer,Notebook,15.6,4,Windows 10,2.4,384.0,0,0,0,1366,768,1049088,0,Aspire,Intel,Core i3,2.4,Intel,HD,HDD,1024
56,Dell,Notebook,15.6,8,Windows 10,2.13,767.8,0,0,0,1920,1080,2073600,0,Inspiron,Intel,Core i7,1.8,AMD,Radeon,SSD,256
57,HP,Notebook,15.6,4,Windows 10,1.91,439.0,0,0,0,1920,1080,2073600,0,15-bs002nv,Intel,Core i3,2,Intel,HD,SSD,128
58,Asus,Notebook,15.6,4,Windows 10,2.0,586.19,0,0,0,1366,768,1049088,0,VivoBook,Intel,Core i5,2.5,Intel,HD,SSD,256
59,MSI,Gaming,17.3,16,Windows 10,2.43,2449.0,0,0,0,1920,1080,2073600,0,GS73VR,Intel,Core i7,2.8,Nvidia,GeForce,SSD + HDD,2304
60,Asus,Notebook,15.6,4,Linux,2.0,415.0,0,0,0,1920,1080,2073600,0,X541UA-DM1897,Intel,Core i3,2,Intel,HD,SSD,256
61,Dell,Notebook,17.3,16,Windows 10,2.8,1299.0,0,0,0,1920,1080,2073600,0,Inspiron,Intel,Core i7,1.8,AMD,Radeon,SSD + HDD,2304
62,Dell,Ultrabook,14.0,8,Windows 10,1.7,879.0,0,0,0,1920,1080,2073600,0,Vostro,Intel,Core i5,1.6,Intel,UHD,SSD,256
63,Lenovo,Notebook,14.0,8,No OS,1.7,599.0,1,0,0,1920,1080,2073600,0,IdeaPad,Intel,Core i3,2.7,Intel,HD,SSD,256
64,Asus,Notebook,14.0,8,Windows 10,1.4,941.0,0,0,0,1920,1080,2073600,0,UX410UA-GV350T,Intel,Core i5,1.6,Intel,UHD,SSD,256
66,HP,Notebook,15.6,8,Windows 10,1.86,690.0,0,0,0,1920,1080,2073600,0,250 G6,Intel,Core i5,2.5,Intel,HD,SSD,256
67,Asus,Ultrabook,15.6,16,Windows 10,1.8,1983.0,0,0,0,1920,1080,2073600,0,ZenBook,Intel,Core i7,2.8,Nvidia,GeForce,SSD,512
68,HP,Notebook,15.6,4,Windows 10,1.86,438.69,0,0,0,1366,768,1049088,0,250 G6,Intel,Core i3,2,AMD,Radeon,HDD,500
69,HP,Notebook,14.0,4,Windows 10,1.44,229.0,0,0,0,1366,768,1049088,0,Stream,Intel,Celeron,1.6,Intel,HD,SSD,32
70,Lenovo,Notebook,15.6,4,Windows 10,1.9,549.0,0,0,0,1920,1080,2073600,0,V310-15ISK,Intel,Core i5,2.5,Intel,HD,HDD,1024
71,Asus,Gaming,17.3,12,Linux,3.0,949.0,0,0,0,1920,1080,2073600,0,FX753VE-GC093,Intel,Core i7,2.8,Nvidia,GeForce,HDD,1024
72,Microsoft,Ultrabook,13.5,4,Windows 10 S,1.252,1089.0,0,0,1,2256,1504,3393024,1,Surface,Intel,Core i5,2.5,Intel,HD,SSD,128
73,Dell,Ultrabook,13.3,8,Windows 10,1.4,955.0,1,0,0,1920,1080,2073600,0,Inspiron,Intel,Core i7,1.8,AMD,Radeon,SSD,256
74,Dell,Notebook,15.6,8,Windows 10,2.2,870.0,0,0,0,1920,1080,2073600,0,Inspiron,Intel,Core i7,1.8,AMD,Radeon,SSD,256
75,MSI,Gaming,17.3,8,Windows 10,2.7,1095.0,0,0,0,1920,1080,2073600,0,GL72M,Intel,Core i5,2.5,Nvidia,GeForce,SSD + HDD,1152
76,Acer,Notebook,14.0,8,Windows 10,2.1,389.0,0,0,0,1366,768,1049088,0,Aspire,Intel,Core i3,2,Intel,HD,HDD,1024
77,Asus,Gaming,15.6,8,Windows 10,2.2,949.0,0,0,0,1920,1080,2073600,0,FX503VD-E4022T,Intel,Core i7,2.8,Nvidia,GeForce,HDD,1024
78,Lenovo,Notebook,15.6,8,No OS,2.2,519.0,0,0,0,1920,1080,2073600,0,IdeaPad,Intel,Core i5,2.5,Intel,HD,HDD,2048
79,Dell,Notebook,15.6,8,Windows 10,2.02,855.0,0,0,0,1920,1080,2073600,0,Inspiron,Intel,Core i7,1.8,Intel,UHD,SSD + HDD,1152
80,Acer,Notebook,15.6,4,Windows 10,2.2,530.0,0,0,0,1920,1080,2073600,0,Aspire,Intel,Core i3,2.7,Nvidia,GeForce,HDD,1024
81,HP,Notebook,17.3,8,Windows 10,2.5,977.0,0,0,0,1920,1080,2073600,0,ProBook,Intel,Core i5,1.6,Nvidia,GeForce,SSD + HDD,1152
82,Dell,Ultrabook,15.6,8,Windows 10,1.88,1096.16,1,0,0,1920,1080,2073600,0,Latitude,Intel,Core i5,1.6,Intel,UHD,SSD,256
83,Apple,Ultrabook,12.0,8,macOS,0.92,1510.0,1,1,0,2304,1440,3317760,1,MacBook,Intel,Core i5,1.3,Intel,HD,SSD,512
84,HP,Notebook,14.0,8,Windows 10,1.63,860.0,0,0,0,1920,1080,2073600,0,ProBook,Intel,Core i5,1.6,Intel,HD,SSD,256
85,Lenovo,Notebook,15.6,4,Windows 10,2.2,399.0,0,0,0,1920,1080,2073600,0,IdeaPad,AMD,A6-Series,2.5,AMD,Other,SSD,128
86,Acer,Notebook,15.6,4,Windows 10,2.1,395.0,0,0,0,1366,768,1049088,0,Aspire,AMD,A9-Series,3,AMD,Radeon,HDD,1024
87,Dell,Gaming,15.6,16,Windows 10,2.65,1349.0,1,0,0,1920,1080,2073600,0,Inspiron,Intel,Core i7,2.8,Nvidia,GeForce,SSD + HDD,1152
88,HP,Ultrabook,15.6,8,Windows 10,1.83,699.0,1,0,0,1920,1080,2073600,0,Pavilion,Intel,Core i7,1.8,Nvidia,GeForce,SSD,256
89,HP,Notebook,15.6,8,Windows 10,1.96,598.99,0,0,0,1920,1080,2073600,0,250 G6,Intel,Core i5,2.5,Intel,HD,SSD,256
90,Asus,Gaming,15.6,16,Windows 10,2.2,1449.0,1,0,0,1920,1080,2073600,0,FX503VM-E4007T,Intel,Core i7,2.8,Nvidia,GeForce,SSD + HDD,1152
91,Dell,Ultrabook,13.3,8,Windows 10,1.21,1649.0,1,0,0,1920,1080,2073600,0,XPS,Intel,Core i7,1.8,Intel,UHD,SSD,256
92,Asus,Gaming,15.6,8,Windows 10,2.45,699.0,0,0,0,1920,1080,2073600,0,FX550IK-DM018T,AMD,FX,3,AMD,Radeon,HDD,1024
93,Acer,Notebook,15.6,8,Windows 10,2.2,689.0,0,0,0,1920,1080,2073600,0,Aspire,Intel,Core i7,1.8,Nvidia,GeForce,HDD,1024
94,HP,Notebook,13.3,16,Windows 10,1.49,1197.0,0,0,0,1920,1080,2073600,0,Probook,Intel,Core i7,1.8,Intel,UHD,SSD,512
95,Dell,Gaming,15.6,8,Windows 10,2.65,1195.0,0,0,0,1920,1080,2073600,0,Inspiron,Intel,Core i5,2.5,Nvidia,GeForce,SSD,256
96,Asus,Ultrabook,14.0,8,Windows 10,1.25,1049.0,0,0,0,1920,1080,2073600,0,Zenbook,Intel,Core i7,2.7,Intel,HD,SSD,256
97,Acer,2 in 1 Convertible,13.3,8,Windows 10,1.5,847.0,1,0,1,1920,1080,2073600,0,Spin,Intel,Core i5,1.6,Intel,UHD,SSD,256
98,Dell,Notebook,15.6,8,Linux,2.2,599.9,0,0,0,1920,1080,2073600,0,Inspiron,Intel,Core i7,2.7,AMD,Radeon,HDD,1024
99,Dell,Notebook,15.6,4,Linux,2.2,485.0,0,0,0,1920,1080,2073600,0,Inspiron,Intel,Core i3,2,AMD,Radeon,SSD,256
100,Asus,Notebook,15.6,6,Windows 10,2.0,577.0,0,0,0,1920,1080,2073600,0,X541UV-DM1439T,Intel,Core i3,2.4,Nvidia,GeForce,SSD,256
102,HP,Gaming,15.6,12,Windows 10,2.62,1249.0,1,0,0,1920,1080,2073600,0,Omen,Intel,Core i7,2.8,Nvidia,GeForce,SSD + HDD,1152
103,HP,Notebook,15.6,8,Windows 10,1.91,719.0,0,0,0,1920,1080,2073600,0,15-bs017nv,Intel,Core i7,2.7,AMD,Radeon,SSD,256
104,HP,Notebook,15.6,4,Windows 10,2.1,349.0,0,0,0,1920,1080,2073600,0,15-bw000nv,AMD,E-Series,1.5,AMD,Radeon,HDD,500
105,Dell,Notebook,15.6,8,Linux,2.2,647.0,0,0,0,1920,1080,2073600,0,Inspiron,Intel,Core i5,1.6,AMD,Radeon,HDD,1024
106,HP,Ultrabook,13.3,8,Windows 10,1.38,1119.0,1,0,0,1920,1080,2073600,0,Envy,Intel,Core i7,2.7,Nvidia,GeForce,SSD,256
107,Microsoft,Ultrabook,13.5,8,Windows 10 S,1.252,1340.0,0,0,1,2256,1504,3393024,1,Surface,Intel,Core i5,2.5,Intel,HD,SSD,256
108,HP,Notebook,14.0,6,Windows 10,1.58,659.0,1,0,0,1920,1080,2073600,0,Pavilion,Intel,Core i5,2.5,Nvidia,GeForce,SSD,256
109,Lenovo,Notebook,15.6,4,Windows 10,1.85,414.9,0,0,0,1920,1080,2073600,0,Ideapad,Intel,Core i3,2,Intel,HD,HDD,1024
110,Asus,Ultrabook,14.0,8,Windows 10,1.3,1193.0,1,0,0,1920,1080,2073600,0,UX430UQ-GV209R,Intel,Core i7,2.7,Nvidia,GeForce,SSD,256
111,MSI,Gaming,15.6,16,Windows 10,2.2,1299.0,0,0,0,1920,1080,2073600,0,GP62M,Intel,Core i7,2.8,Nvidia,GeForce,SSD + HDD,1280
112,Lenovo,Notebook,14.0,8,Windows 10,1.58,1480.0,1,0,0,1920,1080,2073600,0,Thinkpad,Intel,Core i7,2.7,Intel,HD,SSD,256
113,Asus,Ultrabook,15.6,16,Windows 10,1.5,1262.0,0,0,0,1920,1080,2073600,0,VivoBook,Intel,Core i7,1.8,Nvidia,GeForce,SSD + HDD,1280
114,Dell,Ultrabook,13.3,8,Windows 10,1.23,1379.0,0,0,1,3200,1800,5760000,1,XPS,Intel,Core i7,2.4,Intel,Iris Plus,SSD,256
115,Lenovo,2 in 1 Convertible,13.3,8,Windows 10,1.37,1399.0,1,0,1,1920,1080,2073600,0,ThinkPad,Intel,Core i5,2.5,Intel,HD,SSD,256
116,HP,Notebook,14.0,4,Windows 10,1.63,722.0,1,0,0,1366,768,1049088,0,Probook,Intel,Core i5,1.6,Intel,UHD,HDD,500
117,Dell,Ultrabook,13.3,8,Windows 10,1.21,1629.0,1,0,0,1920,1080,2073600,0,XPS,Intel,Core i5,1.6,Intel,UHD,SSD,256
118,HP,2 in 1 Convertible,13.3,8,Windows 10,1.26,1398.99,1,0,1,1920,1080,2073600,0,Spectre,Intel,Core i5,1.6,Intel,UHD,SSD,256
119,HP,Notebook,14.0,8,Windows 10,1.63,1084.0,0,0,0,1920,1080,2073600,0,Probook,Intel,Core i7,1.8,Intel,UHD,SSD,512
120,Dell,Notebook,15.6,8,Windows 10,2.16,1130.33,1,0,0,1920,1080,2073600,0,Inspiron,Intel,Core i7,1.8,Nvidia,GeForce,SSD + HDD,1280
121,Asus,Notebook,17.3,4,Windows 10,2.0,564.0,0,0,0,1920,1080,2073600,0,X705UV-BX074T,Intel,Core i3,2,Nvidia,GeForce,HDD,1024
122,Asus,Notebook,15.6,8,Windows 10,1.7,1118.0,0,0,0,1920,1080,2073600,0,VivoBook,Intel,Core i7,1.8,Nvidia,GeForce,SSD,256
123,Acer,Notebook,15.6,6,Windows 10,2.1,479.0,1,0,1,1920,1080,2073600,0,Spin,Intel,Core i3,2.4,Intel,HD,HDD,1024
124,MSI,Gaming,15.6,16,Windows 10,1.8,2241.5,0,0,0,1920,1080,2073600,0,GS63VR,Intel,Core i7,2.8,Nvidia,GeForce,SSD + HDD,2304
125,Lenovo,Notebook,15.6,8,No OS,2.2,629.0,0,0,0,1920,1080,2073600,0,IdeaPad,Intel,Core i5,2.5,Nvidia,GeForce,SSD,256
126,HP,Notebook,17.3,16,Windows 10,2.5,1271.0,0,0,0,1920,1080,2073600,0,Probook,Intel,Core i7,1.8,Nvidia,GeForce,SSD,512
127,Acer,Notebook,15.6,4,Windows 10,2.1,451.0,0,0,0,1366,768,1049088,0,Aspire,AMD,A9-Series,3,AMD,Radeon,SSD,256
128,HP,Notebook,15.6,4,No OS,1.86,259.0,0,0,0,1366,768,1049088,0,250 G6,Intel,Celeron,1.6,Intel,HD,HDD,500
129,HP,Notebook,14.0,8,Windows 10,1.63,812.0,0,0,0,1920,1080,2073600,0,Probook,Intel,Core i5,1.6,Intel,UHD,HDD,1024
130,Asus,Notebook,14.0,4,Windows 10 S,1.65,277.99,0,0,0,1366,768,1049088,0,E402WA-GA007T,AMD,E-Series,1.5,AMD,Radeon,SSD,64
131,Dell,Notebook,17.3,16,Windows 10,2.8,1396.0,0,0,0,1920,1080,2073600,0,Inspiron,Intel,Core i7,1.8,AMD,Radeon,SSD + HDD,2304
132,HP,Notebook,17.3,8,Windows 10,2.5,928.0,0,0,0,1920,1080,2073600,0,ProBook,Intel,Core i5,1.6,Intel,UHD,SSD,256
133,Dell,Notebook,15.6,8,Windows 10,2.36,638.99,0,0,0,1366,768,1049088,0,Inspiron,Intel,Core i5,2.5,AMD,Radeon,HDD,1024
134,Dell,Notebook,15.6,4,Windows 10,2.2,449.0,0,0,0,1920,1080,2073600,0,Inspiron,Intel,Core i3,2,AMD,Radeon,HDD,1024
135,Acer,Ultrabook,14.0,8,Windows 10,1.6,884.0,1,0,0,1920,1080,2073600,0,Swift,Intel,Core i7,1.8,Intel,UHD,SSD,256
136,Acer,Notebook,15.6,4,Windows 10,2.2,572.0,0,0,0,1920,1080,2073600,0,Aspire,Intel,Core i3,2.7,Nvidia,GeForce,SSD,256
137,HP,Notebook,15.6,8,Windows 10,2.05,598.0,0,0,0,1366,768,1049088,0,15-BS078nr,Intel,Core i7,2.7,Intel,HD,HDD,1024
138,HP,Notebook,14.0,8,Windows 10,1.63,988.0,0,0,0,1920,1080,2073600,0,Probook,Intel,Core i7,1.8,Intel,UHD,SSD,256
139,Lenovo,Notebook,15.6,4,No OS,1.9,252.36,0,0,0,1366,768,1049088,0,V110-15IAP,Intel,Celeron,1.1,Intel,HD,HDD,1024
140,Asus,Gaming,17.3,8,Windows 10,3.0,938.0,0,0,0,1920,1080,2073600,0,FX753VD-GC086T,Intel,Core i5,2.5,Nvidia,GeForce,SSD + HDD,1152
141,Lenovo,Notebook,15.6,4,No OS,2.2,499.0,0,0,0,1920,1080,2073600,0,IdeaPad,Intel,Core i5,2.5,Nvidia,GeForce,HDD,1024
142,HP,Notebook,13.3,4,Windows 10,1.32,699.0,1,0,0,1920,1080,2073600,0,Envy,Intel,Core i5,2.5,Intel,HD,SSD,256
143,Acer,Notebook,17.3,4,Windows 10,3.0,655.0,1,0,0,1920,1080,2073600,0,Aspire,Intel,Core i3,2.7,Nvidia,GeForce,HDD,1024
144,Lenovo,Notebook,14.0,8,Windows 10,1.75,1116.02,1,0,0,1920,1080,2073600,0,ThinkPad,Intel,Core i5,1.6,AMD,Radeon,SSD,256
145,Lenovo,Gaming,15.6,8,No OS,2.4,869.0,1,0,0,1920,1080,2073600,0,Legion,Intel,Core i7,2.8,Nvidia,GeForce,SSD,256
146,Toshiba,Notebook,15.6,4,Windows 10,2.1,602.0,0,0,0,1366,768,1049088,0,Satellite,Intel,Core i5,2.3,Intel,HD,HDD,500
147,HP,Notebook,15.6,4,Windows 10,1.86,369.0,0,0,0,1366,768,1049088,0,255 G6,AMD,A6-Series,2.5,AMD,Radeon,SSD,256
148,Asus,Ultrabook,14.0,8,Windows 10,1.25,1099.0,0,0,0,1920,1080,2073600,0,ZenBook,Intel,Core i7,1.8,Intel,UHD,SSD,256
149,HP,Ultrabook,12.5,8,Windows 10,0.97,2014.0,1,0,1,3840,2160,8294400,1,EliteBook,Intel,Core M,1.2,Intel,HD,SSD,512
150,Asus,Notebook,15.6,4,Windows 10,2.0,344.0,0,0,0,1920,1080,2073600,0,X541NA,Intel,Celeron,1.1,Intel,HD,HDD,1024
151,MSI,Gaming,17.3,16,Windows 10,2.9,2029.0,0,0,0,1920,1080,2073600,0,GE72MVR,Intel,Core i7,2.8,Nvidia,GeForce,SSD + HDD,1280
152,Acer,Notebook,15.6,4,Windows 10,2.1,447.0,0,0,0,1366,768,1049088,0,Aspire,Intel,Core i3,2,Intel,HD,HDD,1024
153,Dell,Gaming,15.6,16,Windows 10,2.56,1249.26,0,0,0,1920,1080,2073600,0,Inspiron,Intel,Core i7,2.8,Nvidia,GeForce,SSD,512
154,Dell,Gaming,15.6,8,Windows 10,2.62,899.0,0,0,0,1920,1080,2073600,0,Inspiron,Intel,Core i7,2.8,Nvidia,GeForce,Hybrid,1024
155,Lenovo,Notebook,15.6,4,Windows 10,1.9,498.0,0,0,0,1366,768,1049088,0,V110-15IKB,Intel,Core i5,2.5,Intel,HD,SSD,128
156,MSI,Gaming,17.3,16,Windows 10,2.8,1890.0,0,0,0,1920,1080,2073600,0,GE73VR,Intel,Core i7,2.8,Nvidia,GeForce,SSD + HDD,1280
157,HP,Ultrabook,14.0,4,Windows 10,1.48,1082.0,0,0,0,1920,1080,2073600,0,EliteBook,Intel,Core i5,2.7,Intel,HD,SSD,256
158,HP,Notebook,15.6,6,Windows 10,1.91,619.0,0,0,0,1920,1080,2073600,0,15-BS103nv,Intel,Core i5,1.6,AMD,Radeon,SSD,256
159,Lenovo,2 in 1 Convertible,14.0,4,Windows 10,1.74,629.0,1,0,1,1920,1080,2073600,0,Yoga,Intel,Core i3,2.4,Intel,HD,SSD,256
160,Asus,2 in 1 Convertible,13.3,8,Windows 10,1.1,1315.0,0,0,1,1920,1080,2073600,0,ZenBook,Intel,Core i5,1.6,Intel,HD,SSD,256
161,Dell,2 in 1 Convertible,15.6,8,Windows 10,1.56,1049.0,0,0,1,1920,1080,2073600,0,Inspiron,Intel,Core i7,1.8,Intel,UHD,SSD,256
163,Toshiba,Notebook,15.6,4,Windows 10,2.1,447.0,0,0,0,1366,768,1049088,0,Satellite,Intel,Core i3,2.2,Intel,HD,HDD,500
164,Asus,Notebook,15.6,4,Windows 10,2.03,403.0,0,0,0,1366,768,1049088,0,X555BP-XX180T,AMD,A9-Series,3,AMD,Radeon,HDD,1024
165,Acer,Notebook,17.3,4,Windows 10,3.0,805.0,1,0,0,1920,1080,2073600,0,Aspire,Intel,Core i5,1.6,Nvidia,GeForce,SSD,256
