Brand,Processor,RAM(GB),GPU,Screen_Size(inch),Battery_Life(hours),Weight(kg),Operating_System,Storage_Size(GB),Storage_Type,ResolutionX,ResolutionY,Price(€)
Acer,AMD Ryzen 9,16,Integrated,14.0,4.5,2.09,FreeDOS,2048,SSD,2560,1440,1608.69
Asus,Intel i5,64,Nvidia RTX 3060,14.0,10.3,1.4,Windows,512,SSD,1920,1080,2319.78
HP,AMD Ryzen 9,32,Nvidia RTX 2060,16.0,9.6,3.2,FreeDOS,1024,SSD,2560,1440,3214.1
HP,AMD Ryzen 7,16,Nvidia RTX 3060,17.3,11.1,2.2,macOS,512,SSD,1366,768,1194.79
HP,AMD Ryzen 5,64,Integrated,16.0,5.9,3.24,FreeDOS,512,SSD,2560,1440,2098.4
Asus,Intel i3,8,Nvidia GTX 1650,14.0,4.8,1.48,macOS,256,SSD,1366,768,704.67
Asus,AMD Ryzen 7,64,AMD Radeon RX 6800,16.0,7.5,2.53,Windows,256,SSD,1920,1080,2960.39
Lenovo,Intel i3,16,AMD Radeon RX 6800,16.0,4.6,2.32,Windows,512,SSD,1920,1080,1160.56
Asus,AMD Ryzen 9,8,AMD Radeon RX 6800,13.3,8.2,2.15,FreeDOS,1024,HDD,2560,1440,1717.46
Lenovo,Intel i7,4,Integrated,13.3,7.8,1.23,macOS,256,SSD,3840,2160,1267.36
Asus,AMD Ryzen 7,8,Nvidia GTX 1650,13.3,8.1,2.06,macOS,2048,SSD,3840,2160,1868.69
MSI,AMD Ryzen 3,16,Nvidia RTX 3060,14.0,6.2,1.22,macOS,2048,SSD,3840,2160,1968.69
Lenovo,Intel i3,64,Nvidia RTX 3080,17.3,5.3,3.22,Linux,256,SSD,2560,1440,2530.98
Lenovo,Intel i7,4,Integrated,16.0,6.2,2.52,Windows,2048,SSD,3840,2160,1402.94
Acer,AMD Ryzen 3,32,AMD Radeon RX 6800,17.3,6.3,2.12,Windows,2048,SSD,2560,1440,1776.22
Asus,AMD Ryzen 7,8,Nvidia RTX 3080,16.0,7.8,1.67,macOS,1024,HDD,1920,1080,1166.41
Apple,Intel i5,64,Nvidia RTX 3080,14.0,10.9,2.25,Windows,512,SSD,3840,2160,5307.25
Dell,AMD Ryzen 3,8,Nvidia RTX 3060,13.3,4.3,2.5,macOS,512,SSD,2560,1440,875.29
Samsung,AMD Ryzen 5,8,AMD Radeon RX 6800,14.0,9.4,2.01,Linux,1024,HDD,1366,768,575.18
Microsoft,Intel i9,16,Nvidia GTX 1650,17.3,4.4,1.87,FreeDOS,512,SSD,1920,1080,1944.67
HP,AMD Ryzen 7,4,Nvidia GTX 1650,15.6,9.7,1.9,FreeDOS,2048,SSD,1920,1080,1205.23
Microsoft,AMD Ryzen 7,32,Nvidia RTX 3060,14.0,7.0,1.44,macOS,2048,SSD,3840,2160,3023.53
HP,AMD Ryzen 9,8,Nvidia GTX 1650,14.0,5.1,1.76,Windows,256,SSD,2560,1440,1914.33
Asus,Intel i5,16,Nvidia GTX 1650,16.0,6.6,3.11,macOS,1024,SSD,1920,1080,1176.26
Razer,Intel i9,16,Integrated,14.0,4.6,2.47,FreeDOS,256,SSD,3840,2160,2756.36
HP,Intel i7,4,Nvidia GTX 1650,16.0,10.1,1.57,Windows,1024,HDD,1366,768,801.64
Acer,Intel i3,64,AMD Radeon RX 6600,15.6,11.2,2.55,Linux,512,SSD,2560,1440,2546.96
Microsoft,Intel i7,32,AMD Radeon RX 6800,17.3,4.3,1.72,Linux,256,SSD,3840,2160,3445.76
Dell,Intel i9,32,Nvidia RTX 2060,14.0,6.1,3.06,macOS,1024,HDD,3840,2160,3271.74
Asus,AMD Ryzen 5,4,AMD Radeon RX 6800,14.0,7.8,3.06,macOS,2048,SSD,1366,768,720.05
Samsung,Intel i3,8,AMD Radeon RX 6600,14.0,7.2,2.54,FreeDOS,512,SSD,1366,768,794.27
MSI,Intel i3,8,AMD Radeon RX 6600,13.3,5.9,1.33,macOS,512,SSD,3840,2160,1641.99
Lenovo,Intel i3,4,Nvidia RTX 3060,16.0,7.2,3.43,macOS,1024,SSD,2560,1440,1071.74
Microsoft,Intel i3,8,Nvidia GTX 1650,14.0,9.6,1.83,Windows,1024,HDD,3840,2160,1148.08
Asus,Intel i9,32,Nvidia RTX 2060,16.0,8.3,2.8,Windows,512,SSD,1366,768,2282.48
Acer,AMD Ryzen 7,8,Nvidia RTX 2060,13.3,10.7,1.84,macOS,512,SSD,1366,768,1066.85
Asus,AMD Ryzen 7,16,Nvidia RTX 3080,15.6,4.7,1.46,Windows,2048,SSD,2560,1440,1791.3
Microsoft,Intel i7,32,AMD Radeon RX 6600,16.0,11.8,1.48,FreeDOS,2048,SSD,1920,1080,1944.53
Acer,AMD Ryzen 3,64,Nvidia RTX 2060,17.3,9.9,1.69,Windows,1024,HDD,1366,768,1367.68
Apple,AMD Ryzen 9,4,Integrated,13.3,11.2,1.61,Windows,2048,SSD,2560,1440,1660.13
Lenovo,AMD Ryzen 5,4,AMD Radeon RX 6600,14.0,11.2,3.02,FreeDOS,512,SSD,1366,768,636.04
Asus,AMD Ryzen 5,8,Nvidia RTX 3080,13.3,8.5,1.42,FreeDOS,1024,SSD,1366,768,726.44
Razer,AMD Ryzen 7,8,AMD Radeon RX 6600,13.3,4.1,1.44,Linux,2048,SSD,2560,1440,2127.17
Dell,AMD Ryzen 5,32,Nvidia RTX 3060,16.0,4.2,1.52,macOS,2048,SSD,1920,1080,1609.05
Apple,Intel i9,16,AMD Radeon RX 6800,16.0,9.4,2.65,FreeDOS,1024,HDD,2560,1440,3154.62
Dell,AMD Ryzen 3,8,Nvidia RTX 3060,14.0,9.4,1.69,macOS,1024,SSD,3840,2160,1233.25
Asus,Intel i5,16,Nvidia RTX 3060,15.6,6.4,3.31,macOS,1024,SSD,3840,2160,1950.94
Apple,AMD Ryzen 3,32,Nvidia RTX 3080,15.6,8.6,2.55,macOS,2048,SSD,3840,2160,3217.18
Samsung,Intel i3,8,Nvidia RTX 3080,17.3,10.1,2.45,Linux,256,SSD,1920,1080,894.41
Lenovo,AMD Ryzen 5,64,AMD Radeon RX 6800,14.0,11.5,1.51,macOS,512,SSD,2560,1440,2795.05
Asus,AMD Ryzen 7,64,Nvidia RTX 3080,17.3,7.9,1.77,Windows,1024,SSD,1366,768,2570.06
Asus,Intel i7,64,Nvidia RTX 3060,15.6,10.5,2.43,Windows,256,SSD,1366,768,2596.04
Apple,Intel i5,32,Integrated,17.3,7.1,1.73,Windows,1024,SSD,1366,768,1425.03
Dell,AMD Ryzen 5,4,Integrated,15.6,11.8,3.45,FreeDOS,1024,SSD,2560,1440,885.27
Razer,AMD Ryzen 7,32,Nvidia RTX 3080,16.0,10.7,1.7,macOS,256,SSD,3840,2160,4759.74
Dell,Intel i5,64,AMD Radeon RX 6600,14.0,10.1,1.78,FreeDOS,256,SSD,1920,1080,2061.09
MSI,AMD Ryzen 3,16,AMD Radeon RX 6800,17.3,10.8,2.82,Windows,512,SSD,3840,2160,2166.42
Acer,Intel i7,8,Nvidia RTX 3080,15.6,5.8,1.52,macOS,256,SSD,3840,2160,2169.42
HP,AMD Ryzen 7,64,AMD Radeon RX 6800,14.0,6.7,1.48,Linux,256,SSD,3840,2160,4428.0
MSI,AMD Ryzen 5,64,AMD Radeon RX 6800,15.6,10.8,3.22,FreeDOS,512,SSD,1366,768,2569.35
Microsoft,Intel i3,32,Nvidia RTX 3060,17.3,4.5,2.95,Linux,1024,SSD,3840,2160,2362.12
HP,Intel i3,8,Nvidia RTX 3060,17.3,5.3,1.97,FreeDOS,256,SSD,1920,1080,841.65
Microsoft,Intel i7,4,Nvidia RTX 3080,17.3,11.0,2.44,Windows,1024,SSD,2560,1440,1474.2
Microsoft,AMD Ryzen 9,64,Integrated,17.3,9.5,2.99,Linux,256,SSD,1920,1080,2689.08
HP,AMD Ryzen 3,8,Nvidia GTX 1650,16.0,11.0,2.82,FreeDOS,256,SSD,1920,1080,803.68
MSI,Intel i3,4,Nvidia RTX 2060,13.3,5.5,1.38,FreeDOS,2048,SSD,2560,1440,1029.95
Lenovo,Intel i9,32,Nvidia GTX 1650,15.6,9.2,1.61,FreeDOS,256,SSD,3840,2160,4468.95
MSI,AMD Ryzen 5,8,Integrated,16.0,5.8,2.48,macOS,1024,HDD,3840,2160,1294.6
Lenovo,Intel i7,4,AMD Radeon RX 6800,16.0,5.4,1.75,Windows,2048,SSD,1366,768,863.84
Asus,AMD Ryzen 5,4,Nvidia RTX 3060,17.3,9.2,3.3,Linux,2048,SSD,3840,2160,1439.97
Lenovo,AMD Ryzen 3,64,AMD Radeon RX 6600,13.3,10.9,1.99,FreeDOS,256,SSD,3840,2160,3148.67
Samsung,AMD Ryzen 3,64,Nvidia GTX 1650,14.0,7.5,1.91,Linux,512,SSD,2560,1440,2280.52
Razer,AMD Ryzen 9,16,Nvidia RTX 3060,16.0,10.5,1.88,FreeDOS,1024,SSD,1920,1080,2926.41
Microsoft,AMD Ryzen 7,8,AMD Radeon RX 6800,16.0,5.7,2.82,Linux,2048,SSD,2560,1440,1561.08
Asus,AMD Ryzen 7,16,Nvidia RTX 3060,15.6,10.6,1.81,FreeDOS,512,SSD,3840,2160,2472.1
HP,Intel i3,4,AMD Radeon RX 6600,14.0,4.9,2.04,macOS,1024,HDD,2560,1440,848.43
Razer,Intel i3,32,AMD Radeon RX 6600,14.0,4.9,3.2,FreeDOS,1024,HDD,1920,1080,1370.28
Razer,AMD Ryzen 7,64,AMD Radeon RX 6800,14.0,10.1,2.8,Linux,1024,HDD,3840,2160,5305.43
Asus,AMD Ryzen 3,32,Nvidia RTX 3080,16.0,4.4,1.75,Windows,1024,SSD,3840,2160,2291.18
MSI,Intel i9,64,Integrated,17.3,4.7,1.38,FreeDOS,512,SSD,2560,1440,4329.49
Lenovo,Intel i7,64,AMD Radeon RX 6800,16.0,8.0,2.14,macOS,512,SSD,2560,1440,3713.47
MSI,AMD Ryzen 3,4,Nvidia GTX 1650,16.0,6.5,1.89,Windows,1024,HDD,2560,1440,1160.83
Samsung,AMD Ryzen 5,8,Integrated,17.3,11.0,2.66,Linux,1024,HDD,1366,768,570.8
HP,Intel i5,32,Nvidia GTX 1650,13.3,7.4,2.7,Linux,2048,SSD,3840,2160,2300.86
Lenovo,Intel i9,32,Nvidia RTX 2060,15.6,10.9,3.17,Windows,2048,SSD,1366,768,2236.65
Asus,Intel i5,4,Nvidia RTX 3080,14.0,11.5,3.43,macOS,1024,SSD,2560,1440,1119.86
MSI,Intel i5,4,AMD Radeon RX 6800,16.0,5.8,2.4,Linux,512,SSD,1366,768,878.28
HP,AMD Ryzen 5,8,Nvidia GTX 1650,17.3,5.7,3.07,FreeDOS,1024,SSD,1920,1080,1150.4
Acer,AMD Ryzen 5,64,Nvidia RTX 3060,17.3,6.3,1.37,Windows,512,SSD,2560,1440,3129.46
HP,AMD Ryzen 7,64,Integrated,13.3,4.3,1.31,FreeDOS,1024,SSD,1920,1080,1878.06
Lenovo,Intel i9,64,Nvidia RTX 3080,13.3,10.3,2.99,macOS,1024,SSD,2560,1440,4596.22
HP,AMD Ryzen 7,4,Nvidia GTX 1650,15.6,7.1,2.63,macOS,1024,HDD,1366,768,715.19
Acer,Intel i5,8,AMD Radeon RX 6800,16.0,11.7,3.27,Windows,2048,SSD,3840,2160,1811.65
Apple,Intel i5,8,Nvidia RTX 2060,14.0,5.2,2.1,Linux,256,SSD,3840,2160,2398.84
Microsoft,Intel i9,16,Nvidia RTX 3060,15.6,11.3,1.81,macOS,1024,HDD,1920,1080,1634.04
Microsoft,AMD Ryzen 9,32,Nvidia RTX 3080,13.3,11.8,1.28,Linux,1024,SSD,1920,1080,2503.69
HP,AMD Ryzen 5,16,AMD Radeon RX 6600,16.0,8.9,1.75,Windows,512,SSD,1366,768,934.87
Acer,AMD Ryzen 3,4,Integrated,15.6,7.8,1.66,FreeDOS,1024,SSD,1920,1080,543.21
Razer,Intel i9,8,Nvidia RTX 2060,15.6,8.7,2.78,Linux,1024,SSD,1920,1080,2345.63
Asus,AMD Ryzen 3,32,Nvidia RTX 2060,17.3,11.9,1.63,FreeDOS,512,SSD,1920,1080,1480.41
Acer,AMD Ryzen 7,64,AMD Radeon RX 6800,16.0,6.5,2.09,Linux,2048,SSD,3840,2160,5045.05
Dell,AMD Ryzen 3,8,Nvidia RTX 3060,15.6,5.5,1.28,Linux,1024,SSD,1366,768,669.94
Acer,Intel i3,4,Nvidia GTX 1650,13.3,8.9,3.45,Windows,1024,SSD,1366,768,501.93
Apple,Intel i5,16,Integrated,17.3,11.6,2.83,Linux,512,SSD,1366,768,1004.71
Razer,Intel i3,8,AMD Radeon RX 6600,17.3,11.7,1.76,FreeDOS,1024,SSD,2560,1440,1510.31
Razer,Intel i9,16,Nvidia RTX 3080,17.3,4.5,2.85,FreeDOS,512,SSD,1920,1080,2821.24
Samsung,AMD Ryzen 9,32,Integrated,15.6,6.4,3.01,Linux,512,SSD,1366,768,1596.99
Asus,AMD Ryzen 9,8,Nvidia RTX 3080,14.0,8.0,1.77,Windows,512,SSD,3840,2160,2664.19
Samsung,AMD Ryzen 9,4,AMD Radeon RX 6600,14.0,4.4,2.52,macOS,1024,HDD,3840,2160,1906.91
Dell,AMD Ryzen 7,16,Nvidia GTX 1650,14.0,4.6,3.22,FreeDOS,2048,SSD,1366,768,1084.13
Apple,AMD Ryzen 9,16,AMD Radeon RX 6600,13.3,11.4,1.79,FreeDOS,1024,SSD,3840,2160,4524.66
Microsoft,AMD Ryzen 5,64,Nvidia GTX 1650,17.3,11.4,2.12,Windows,512,SSD,3840,2160,4000.9
Samsung,AMD Ryzen 3,4,Nvidia GTX 1650,14.0,6.6,2.82,macOS,512,SSD,1920,1080,676.09
Razer,Intel i5,4,AMD Radeon RX 6800,16.0,6.6,2.83,Windows,512,SSD,1920,1080,1259.87
Acer,AMD Ryzen 3,64,Integrated,15.6,7.6,1.8,FreeDOS,1024,SSD,3840,2160,2328.93
Samsung,Intel i7,16,Nvidia RTX 2060,17.3,10.4,1.42,Windows,2048,SSD,2560,1440,1856.71
Acer,Intel i9,32,Integrated,15.6,11.6,2.55,Windows,512,SSD,1366,768,1502.73
Lenovo,AMD Ryzen 7,4,Nvidia GTX 1650,15.6,10.4,3.1,Windows,512,SSD,2560,1440,1406.61
Microsoft,AMD Ryzen 5,64,Nvidia RTX 3080,13.3,7.9,1.85,Windows,512,SSD,3840,2160,3538.24
Apple,AMD Ryzen 5,16,Nvidia RTX 3080,15.6,9.8,1.45,macOS,256,SSD,1920,1080,1715.19
Apple,AMD Ryzen 3,16,Integrated,17.3,9.2,1.94,Linux,1024,SSD,3840,2160,1682.03
Apple,Intel i3,64,AMD Radeon RX 6600,14.0,7.0,1.35,FreeDOS,512,SSD,2560,1440,3531.16
Razer,AMD Ryzen 3,32,Nvidia RTX 3060,16.0,5.8,1.86,FreeDOS,512,SSD,2560,1440,2277.0
Microsoft,AMD Ryzen 5,32,Nvidia RTX 2060,13.3,12.0,2.5,Windows,1024,SSD,3840,2160,2421.28
Samsung,Intel i3,4,Integrated,17.3,11.5,3.29,Windows,2048,SSD,1920,1080,425.79
Dell,AMD Ryzen 7,16,AMD Radeon RX 6600,13.3,9.4,2.42,FreeDOS,2048,SSD,1366,768,1270.8
Razer,AMD Ryzen 9,4,AMD Radeon RX 6600,16.0,6.5,2.32,macOS,512,SSD,1920,1080,2047.01
Acer,Intel i9,64,Integrated,15.6,8.3,3.06,macOS,1024,SSD,1920,1080,2733.03
Asus,AMD Ryzen 3,64,AMD Radeon RX 6600,14.0,11.1,3.26,FreeDOS,256,SSD,1366,768,1561.3
Acer,AMD Ryzen 3,32,Nvidia RTX 3060,17.3,7.1,1.41,FreeDOS,1024,HDD,1920,1080,1215.4
Dell,AMD Ryzen 9,32,AMD Radeon RX 6800,16.0,6.8,2.32,Linux,256,SSD,2560,1440,3440.13
Apple,AMD Ryzen 3,4,Nvidia RTX 3060,16.0,7.9,2.69,FreeDOS,2048,SSD,1920,1080,1044.18
Samsung,AMD Ryzen 5,64,Nvidia GTX 1650,13.3,10.9,2.33,Windows,2048,SSD,1366,768,1937.2
HP,AMD Ryzen 9,8,Nvidia RTX 3060,14.0,11.8,3.28,Linux,256,SSD,1366,768,1320.03
MSI,AMD Ryzen 7,4,Nvidia GTX 1650,17.3,10.5,1.33,FreeDOS,1024,SSD,3840,2160,2347.77
Microsoft,Intel i5,32,AMD Radeon RX 6800,16.0,4.3,2.42,Windows,1024,HDD,1366,768,1028.66
Samsung,AMD Ryzen 9,16,AMD Radeon RX 6600,16.0,6.3,1.56,Linux,2048,SSD,3840,2160,3430.94
Microsoft,Intel i3,8,Nvidia GTX 1650,14.0,10.4,3.06,Linux,1024,HDD,2560,1440,921.52
Asus,Intel i7,16,Nvidia GTX 1650,14.0,4.1,2.59,Windows,2048,SSD,3840,2160,2164.09
HP,AMD Ryzen 3,64,Nvidia RTX 2060,15.6,6.7,1.24,FreeDOS,1024,SSD,1920,1080,1973.08
Dell,AMD Ryzen 9,4,Nvidia GTX 1650,14.0,6.0,2.56,Linux,1024,HDD,2560,1440,1327.74
Acer,AMD Ryzen 3,8,Integrated,17.3,4.4,3.49,FreeDOS,1024,HDD,1920,1080,510.34
Apple,Intel i5,8,Integrated,13.3,5.7,1.24,macOS,512,SSD,1920,1080,1000.1
Samsung,Intel i7,16,Nvidia RTX 3080,14.0,11.5,3.3,FreeDOS,256,SSD,1920,1080,1489.75
Apple,Intel i5,64,AMD Radeon RX 6600,17.3,9.4,2.82,FreeDOS,512,SSD,1920,1080,3678.69
Apple,Intel i3,64,Integrated,15.6,6.8,1.79,Windows,1024,HDD,1366,768,1351.45
Samsung,AMD Ryzen 5,16,Nvidia RTX 3080,17.3,7.9,2.07,macOS,1024,HDD,1366,768,835.88
HP,AMD Ryzen 9,32,Nvidia RTX 3060,17.3,4.2,2.36,FreeDOS,1024,SSD,2560,1440,3374.23
Samsung,AMD Ryzen 3,16,AMD Radeon RX 6600,15.6,4.9,2.5,Linux,256,SSD,2560,1440,1209.05
Asus,AMD Ryzen 9,32,AMD Radeon RX 6600,13.3,9.6,3.17,FreeDOS,1024,SSD,1366,768,2018.75
Lenovo,AMD Ryzen 3,4,Nvidia RTX 2060,17.3,6.7,1.28,Linux,1024,SSD,1920,1080,828.47
Dell,AMD Ryzen 7,4,Nvidia RTX 3060,13.3,5.5,1.54,FreeDOS,1024,SSD,3840,2160,1595.86
Samsung,Intel i7,16,AMD Radeon RX 6600,13.3,9.5,2.62,Windows,512,SSD,3840,2160,2408.36
Razer,AMD Ryzen 5,4,Nvidia RTX 3080,13.3,11.6,1.82,macOS,1024,SSD,3840,2160,1921.08
Razer,Intel i7,64,Nvidia RTX 2060,15.6,6.2,2.21,FreeDOS,256,SSD,2560,1440,5077.8
Dell,AMD Ryzen 7,4,Nvidia RTX 3080,15.6,7.8,2.22,Linux,1024,SSD,2560,1440,1548.91
Microsoft,AMD Ryzen 7,4,AMD Radeon RX 6800,13.3,11.8,1.68,Windows,1024,SSD,1920,1080,1040.55
MSI,Intel i7,4,Integrated,14.0,7.2,2.87,Windows,256,SSD,1920,1080,835.52
Dell,AMD Ryzen 3,16,Nvidia RTX 2060,17.3,7.5,3.33,Windows,512,SSD,3840,2160,1728.79
HP,Intel i7,64,Integrated,15.6,5.0,2.8,Linux,512,SSD,1920,1080,2066.82
HP,AMD Ryzen 9,64,AMD Radeon RX 6600,14.0,6.0,2.68,FreeDOS,2048,SSD,2560,1440,4454.15
Microsoft,AMD Ryzen 7,64,AMD Radeon RX 6600,13.3,6.2,2.79,Windows,256,SSD,3840,2160,4468.4
Samsung,AMD Ryzen 9,64,Nvidia RTX 2060,14.0,8.9,2.76,macOS,1024,SSD,1366,768,3056.52
HP,AMD Ryzen 3,4,Integrated,17.3,11.7,2.18,Windows,256,SSD,3840,2160,776.64
MSI,AMD Ryzen 3,64,Nvidia RTX 3080,15.6,4.2,3.49,FreeDOS,256,SSD,3840,2160,4279.78
Samsung,AMD Ryzen 3,64,Nvidia GTX 1650,17.3,8.6,3.08,Windows,1024,SSD,3840,2160,3260.05
Microsoft,AMD Ryzen 7,16,Integrated,16.0,11.3,2.64,FreeDOS,2048,SSD,2560,1440,1151.06
Asus,AMD Ryzen 7,32,Nvidia RTX 3080,14.0,12.0,2.9,Linux,512,SSD,1366,768,1538.03
Microsoft,Intel i5,32,AMD Radeon RX 6600,13.3,8.1,1.27,FreeDOS,512,SSD,1920,1080,1488.62
Asus,Intel i9,16,AMD Radeon RX 6600,14.0,6.8,2.19,macOS,512,SSD,1366,768,1499.5
Microsoft,AMD Ryzen 9,64,AMD Radeon RX 6800,15.6,5.8,2.59,Linux,1024,SSD,3840,2160,6600.9
Microsoft,AMD Ryzen 7,16,Nvidia RTX 3080,13.3,7.4,3.17,Linux,256,SSD,1366,768,1129.04
Samsung,Intel i9,64,AMD Radeon RX 6800,13.3,10.6,1.54,macOS,256,SSD,1920,1080,3491.41
HP,Intel i7,8,Nvidia GTX 1650,15.6,11.8,2.66,Linux,2048,SSD,3840,2160,2198.22
Asus,Intel i7,32,Nvidia GTX 1650,16.0,9.3,1.66,Windows,512,SSD,2560,1440,2437.5
Apple,AMD Ryzen 9,16,Nvidia GTX 1650,15.6,5.0,1.34,Windows,2048,SSD,1366,768,2573.59
MSI,Intel i9,8,Integrated,14.0,9.4,3.19,macOS,2048,SSD,3840,2160,2240.49
Lenovo,Intel i7,64,Integrated,16.0,11.5,2.81,macOS,256,SSD,3840,2160,3319.5
Lenovo,AMD Ryzen 3,8,AMD Radeon RX 6800,17.3,10.9,1.67,macOS,512,SSD,2560,1440,1101.46
Microsoft,AMD Ryzen 9,8,Nvidia RTX 3060,14.0,6.6,1.33,Linux,1024,HDD,3840,2160,2142.28
